id,latitude,longitude,name,zone,total_lines,rail,pagerank
1,51.5028,-0.2801,Acton Town,3.0,2,0,0.005002361039571115
2,51.5143,-0.0755,Aldgate,1.0,2,0,0.0023762423767747904
3,51.5154,-0.0726,Aldgate East,1.0,2,0,0.0034015233511807577
4,51.5107,-0.013000000000000001,All Saints,2.0,1,0,0.002764466837856401
5,51.5407,-0.2997,Alperton,4.0,1,0,0.0031722928360920716
7,51.5322,-0.1058,Angel,1.0,1,0,0.0025204974148803853
8,51.5653,-0.1353,Archway,2.5,1,0,0.00316821889614183
9,51.6164,-0.1331,Arnos Grove,4.0,1,0,0.0034393243787540833
10,51.5586,-0.1059,Arsenal,2.0,1,0,0.0028469831484611617
11,51.5226,-0.1571,Baker Street,1.0,5,0,0.007612947292341917
12,51.4431,-0.1525,Balham,3.0,1,1,0.0033071304706010426
13,51.5133,-0.0886,Bank,1.0,4,0,0.007140357533229205
14,51.5204,-0.0979,Barbican,1.0,3,0,0.0025006072785233027
15,51.5396,0.081,Barking,4.0,2,1,0.003239739654128935
16,51.5856,0.0887,Barkingside,5.0,1,0,0.0032743377122477525
17,51.4905,-0.2139,Barons Court,2.0,2,0,0.003602216226233999
18,51.5121,-0.1879,Bayswater,1.0,2,0,0.0026008164815907453
19,51.5148,0.0613,Beckton,3.0,1,0,0.0021196410528744503
20,51.5087,0.055,Beckton Park,3.0,1,0,0.003429648366628485
21,51.5403,0.127,Becontree,5.0,1,0,0.003314448564252157
22,51.5504,-0.1642,Belsize Park,2.0,1,0,0.003062286253530119
24,51.527,-0.0549,Bethnal Green,2.0,1,0,0.002408906205128441
25,51.512,-0.1031,Blackfriars,1.0,2,0,0.002788216522940172
26,51.5867,-0.0417,Blackhorse Road,3.0,1,1,0.0036770007600590237
27,51.5079,-0.0066,Blackwall,2.0,1,0,0.002676720936512387
28,51.5142,-0.1494,Bond Street,1.0,2,0,0.004143338905548851
29,51.5011,-0.0943,Borough,1.0,1,0,0.002440974667129324
30,51.4956,-0.325,Boston Manor,4.0,1,0,0.00315125243332659
31,51.6071,-0.1243,Bounds Green,3.5,1,0,0.0033408732848202185
32,51.5273,-0.0208,Bow Church,2.0,3,0,0.00291345666019245
33,51.5269,-0.0247,Bow Road,2.0,2,0,0.002645266120616768
34,51.5766,-0.2136,Brent Cross,3.0,1,0,0.0033557688740632756
36,51.5248,-0.0119,Bromley-By-Bow,2.5,2,0,0.00267369793312299
38,51.6028,-0.2641,Burnt Oak,4.0,1,0,0.0038258624363463715
39,51.5481,-0.1188,Caledonian Road,2.0,1,0,0.0026643092209678947
40,51.5392,-0.1426,Camden Town,2.0,1,0,0.004925214751510527
42,51.5051,-0.0209,Canary Wharf,2.0,2,0,0.004910453192326391
44,51.5113,-0.0904,Cannon Street,1.0,2,0,0.002683056773460019
45,51.6078,-0.2947,Canons Park,5.0,1,0,0.003663340737222785
47,51.5441,-0.1538,Chalk Farm,2.0,1,0,0.002844768534168141
48,51.5185,-0.1111,Chancery Lane,1.0,1,0,0.002451867493613276
49,51.508,-0.1247,Charing Cross,1.0,2,1,0.003059595262754043
51,51.6177,0.0755,Chigwell,5.0,1,0,0.0032051017727987292
52,51.4946,-0.2678,Chiswick Park,3.0,1,0,0.0025981113290641836
54,51.4618,-0.1384,Clapham Common,2.0,1,0,0.0031513272618130723
55,51.4649,-0.1299,Clapham North,2.0,1,0,0.0030046750045697197
56,51.4527,-0.14800000000000002,Clapham South,2.5,1,0,0.0032415332779978496
58,51.5955,-0.2502,Colindale,4.0,1,0,0.0035879893153666284
59,51.418,-0.1778,Colliers Wood,3.0,1,0,0.003593207454996835
60,51.5129,-0.1243,Covent Garden,1.0,1,0,0.002283429900843757
61,51.4957,-0.0144,Crossharbour & London Arena,2.0,1,0,0.003178671182060726
63,51.5095,0.0276,Custom House,3.0,1,0,0.003089767606315998
65,51.5085,0.064,Cyprus,3.0,1,0,0.003577241608691558
66,51.5443,0.1655,Dagenham East,5.0,1,0,0.0033940588135836463
67,51.5417,0.1469,Dagenham Heathway,5.0,1,0,0.003347804377302079
70,51.5223,-0.0173,Devons Road,2.0,1,0,0.002909806228392615
71,51.552,-0.2387,Dollis Hill,3.0,1,0,0.00302384961220374
72,51.5152,-0.3017,Ealing Broadway,3.0,2,1,0.0029089823969171433
73,51.5101,-0.2882,Ealing Common,3.0,2,0,0.004056478141728161
74,51.492,-0.1973,Earl's Court,1.5,2,0,0.007047351482226214
75,51.5765,-0.397,Eastcote,5.0,2,0,0.003135571770735856
76,51.5168,-0.2474,East Acton,2.0,1,0,0.003036503060888499
77,51.5874,-0.165,East Finchley,3.0,1,0,0.003277140514689013
78,51.5394,0.0518,East Ham,3.5,2,0,0.0031720187064239666
79,51.5093,-0.0021,East India,2.5,1,0,0.0027033452840537517
80,51.4586,-0.2112,East Putney,2.5,1,0,0.003420490530845342
81,51.6137,-0.275,Edgware,5.0,1,0,0.0021226802771690616
82,51.5199,-0.1679,Edgware Road (B),1.0,1,0,0.0026250296746105437
83,51.5203,-0.17,Edgware Road (C),1.0,3,0,0.002471337829992528
84,51.4943,-0.1001,Elephant & Castle,1.5,2,1,0.0035226011270808977
85,51.5496,0.1977,Elm Park,6.0,1,0,0.0034695369682550144
87,51.5074,-0.1223,Embankment,1.0,4,0,0.004179620784901188
89,51.5282,-0.1337,Euston,1.0,2,1,0.004480637918445009
90,51.526,-0.1359,Euston Square,1.0,3,0,0.0025162038080482783
91,51.596000000000004,0.0912,Fairlop,5.0,1,0,0.003278371889619839
92,51.5203,-0.1053,Farringdon,1.0,3,1,0.002520497414880388
93,51.6012,-0.1932,Finchley Central,4.0,1,0,0.004959409461720181
94,51.5472,-0.1803,Finchley Road,2.0,2,0,0.004826293194644552
95,51.5642,-0.1065,Finsbury Park,2.0,1,1,0.005382232975432448
96,51.4804,-0.195,Fulham Broadway,2.0,1,0,0.0030381841656217153
97,51.5096,0.0716,Gallions Reach,3.0,1,0,0.0038187113203590572
98,51.5765,0.0663,Gants Hill,4.0,1,0,0.0032211540646694967
99,51.4945,-0.1829,Gloucester Road,1.0,3,0,0.0035303633018651907
100,51.5724,-0.1941,Golders Green,3.0,1,0,0.0032794613979855516
101,51.5018,-0.2267,Goldhawk Road,2.0,1,0,0.002810523890543461
102,51.5205,-0.1347,Goodge Street,1.0,1,0,0.002276572868099789
103,51.6132,0.0923,Grange Hill,5.0,1,0,0.003248946615354002
104,51.5238,-0.1439,Great Portland Street,1.0,3,0,0.0024905046742124625
105,51.5423,-0.3456,Greenford,4.0,1,1,0.003330038488717302
107,51.5067,-0.1428,Green Park,1.0,3,0,0.005851722375222022
108,51.4915,-0.2754,Gunnersbury,3.0,1,0,0.002992791891706457
109,51.603,0.0933,Hainault,5.0,1,0,0.0032707991063357367
110,51.4936,-0.2251,Hammersmith,2.0,3,0,0.004884629732848307
111,51.5568,-0.17800000000000002,Hampstead,2.5,1,0,0.0031919314936160142
112,51.5302,-0.2933,Hanger Lane,3.0,1,0,0.0031096014748585163
113,51.5362,-0.2575,Harlesden,3.0,1,0,0.0033253853664876503
114,51.5925,-0.3351,Harrow & Wealdston,5.0,1,1,0.0021266503321793143
115,51.5793,-0.3366,Harrow-on-the-Hill,5.0,1,1,0.004300513134684309
116,51.4669,-0.4227,Hatton Cross,5.5,1,0,0.004371108184219259
117,51.4713,-0.4524,"Heathrow Terminals 1, 2 & 3",6.0,1,0,0.0030176859024648854
118,51.4598,-0.4476,Heathrow Terminal 4,6.0,1,0,0.0030176859024648854
119,51.5829,-0.2259,Hendon Central,3.5,1,0,0.0034477859722295634
120,51.5033,-0.0215,Heron Quays,2.0,1,0,0.002838017077141381
122,51.5009,-0.1925,High Street Kensington,1.0,2,0,0.0035492411029006774
123,51.54600000000001,-0.10400000000000001,Highbury & Islington,2.0,1,1,0.002601463828787378
124,51.5777,-0.1458,Highgate,3.0,1,0,0.0032359664913249645
125,51.5538,-0.4499,Hillingdon,6.0,2,0,0.00380780697468741
126,51.5174,-0.12,Holborn,1.0,2,0,0.004389289502857878
127,51.5075,-0.20600000000000002,Holland Park,2.0,1,0,0.0028249336228675223
128,51.5526,-0.1132,Holloway Road,2.0,1,0,0.0028389879987292034
129,51.5539,0.2184,Hornchurch,6.0,1,0,0.003600878190023777
130,51.4713,-0.3665,Hounslow Central,4.0,1,0,0.0031664466878194857
131,51.4733,-0.3564,Hounslow East,4.0,1,0,0.003200874166342075
132,51.4734,-0.3855,Hounslow West,5.0,1,0,0.0030809092362405893
133,51.5027,-0.1527,Hyde Park Corner,1.0,1,0,0.0024096293860617576
134,51.5619,-0.4421,Ickenham,6.0,2,0,0.0035608530185791743
135,51.4871,-0.0101,Island Gardens,2.0,1,0,0.0033156274646211543
136,51.4884,-0.1053,Kennington,2.0,1,0,0.003483652430752755
137,51.5304,-0.225,Kensal Green,2.0,1,0,0.003274997769633668
138,51.4983,-0.2106,Kensington (Olympia),2.0,1,1,0.001495063535037234
139,51.5507,-0.1402,Kentish Town,2.0,1,1,0.0028395412720247115
140,51.5816,-0.3162,Kenton,4.0,1,0,0.0038352037422528466
141,51.477,-0.285,Kew Gardens,3.5,1,0,0.0034298406671791374
142,51.5471,-0.2047,Kilburn,2.0,1,0,0.0029760181800877732
143,51.5351,-0.1939,Kilburn Park,2.0,1,0,0.0031689019866920176
144,51.5846,-0.2786,Kingsbury,4.0,1,0,0.0030355769568053766
145,51.5308,-0.1238,King's Cross St. Pancras,1.0,6,1,0.007914534186474004
146,51.5015,-0.1607,Knightsbridge,1.0,1,0,0.002550462685137533
147,51.5172,-0.2107,Ladbroke Grove,2.0,1,0,0.0030865727605106034
148,51.4991,-0.1115,Lambeth North,1.0,1,0,0.0023563842269391346
149,51.5119,-0.1756,Lancaster Gate,1.0,1,0,0.0027256052485351706
150,51.5139,-0.2172,Latimer Road,2.0,1,0,0.0030843334955302053
151,51.5113,-0.1281,Leicester Square,1.0,2,0,0.00401890418712755
153,51.5566,-0.0053,Leyton,3.0,1,0,0.0027312147075165454
154,51.5683,0.0083,Leytonstone,3.5,1,0,0.004209625648758968
155,51.5123,-0.0396,Limehouse,2.0,1,1,0.002514702412717576
156,51.5178,-0.0823,Liverpool Street,1.0,4,1,0.005293892388758487
157,51.5052,-0.0864,London Bridge,1.0,2,1,0.004452779322672395
159,51.53,-0.1854,Maida Vale,2.0,1,0,0.0030522144382401192
160,51.5712,-0.0958,Manor House,2.5,1,0,0.0029767279074140477
161,51.5122,-0.094,Mansion House,1.0,2,0,0.0028219798926919348
162,51.5136,-0.1586,Marble Arch,1.0,1,0,0.002535530489778434
163,51.5225,-0.1631,Marylebone,1.0,1,1,0.0025367556675014243
164,51.5249,-0.0332,Mile End,2.0,3,0,0.0047635565050242025
165,51.6082,-0.2103,Mill Hill East,4.0,1,0,0.0019018547558759021
166,51.5108,-0.0863,Monument,1.0,2,0,0.0034836232141556146
167,51.5186,-0.0886,Moorgate,1.0,4,1,0.004389210049304864
168,51.6294,-0.43200000000000005,Moor Park,6.5,1,0,0.004783478746870464
169,51.4022,-0.1948,Morden,4.0,1,0,0.0021241558567709536
170,51.5342,-0.1387,Mornington Crescent,2.0,1,0,0.0024954324340874055
171,51.4902,-0.0145,Mudchute,2.0,1,0,0.003256765666561653
172,51.5542,-0.2503,Neasden,3.0,1,0,0.0028996283182763424
173,51.5756,0.0899,Newbury Park,4.0,1,0,0.0032572727469116843
176,51.4995,-0.3142,Northfields,3.0,1,0,0.003049689668959522
177,51.5483,-0.3687,Northolt,5.0,1,0,0.003433169560806535
178,51.5784,-0.3184,Northwick Park,4.0,1,0,0.0029306808998064214
179,51.6111,-0.424,Northwood,6.0,1,0,0.003214086755901169
180,51.6004,-0.4092,Northwood Hills,6.0,1,0,0.003204891849174947
181,51.5237,-0.2597,North Acton,2.5,1,0,0.0043717413511199805
182,51.5175,-0.2887,North Ealing,3.0,1,0,0.002965812142135676
184,51.5846,-0.3626,North Harrow,5.0,1,0,0.0030573836994108347
185,51.5621,-0.3034,North Wembley,4.0,1,0,0.0034714786270027224
186,51.5094,-0.1967,Notting Hill Gate,1.5,3,0,0.0049595668972626265
188,51.5263,-0.0873,Old Street,1.0,1,1,0.0025006072785233023
190,51.4813,-0.3522,Osterley,4.0,1,0,0.0031963425465810357
191,51.4819,-0.113,Oval,2.0,1,0,0.002652395773679111
192,51.515,-0.1415,Oxford Circus,1.0,3,0,0.005757362741961991
193,51.5154,-0.1755,Paddington,1.0,4,1,0.006177763377650492
194,51.527,-0.2841,Park Royal,3.0,1,0,0.0031053833574686478
195,51.4753,-0.2011,Parsons Green,2.0,1,0,0.0031936974272790963
196,51.5366,-0.3232,Perivale,4.0,1,0,0.0032335357262415773
197,51.5098,-0.1342,Picadilly Circus,1.0,2,0,0.003862211597534509
198,51.4893,-0.1334,Pimlico,1.0,1,0,0.0026317219588621542
199,51.5926,-0.3805,Pinner,5.0,1,0,0.003158155849870808
200,51.5313,0.0172,Plaistow,3.0,2,0,0.002847900443558176
201,51.5077,-0.0173,Poplar,2.0,1,0,0.004852284466200862
202,51.571999999999996,-0.2954,Preston Road,4.0,1,0,0.0028600316155074808
203,51.5093,0.0336,Prince Regent,3.0,1,0,0.0032224719156188717
205,51.4682,-0.2089,Putney Bridge,2.0,1,0,0.00330771862392474
206,51.5341,-0.2047,Queen's Park,2.0,1,1,0.0032353461381602706
207,51.5942,-0.2861,Queensbury,4.0,1,0,0.0033437287616838226
208,51.5107,-0.1877,Queensway,1.0,1,0,0.002708978938017612
209,51.4942,-0.2359,Ravenscourt Park,2.0,1,0,0.0026692224481075603
210,51.5753,-0.3714,Rayners Lane,5.0,2,0,0.004400975222935067
211,51.5763,0.0454,Redbridge,4.0,1,0,0.003153233895318063
212,51.5234,-0.1466,Regent's Park,1.0,1,0,0.002236744444236558
213,51.4633,-0.3013,Richmond,4.0,1,1,0.0019543710252729884
215,51.6171,0.0439,Roding Valley,5.0,1,0,0.003123789928356292
216,51.501000000000005,-0.0525,Rotherhithe,2.0,1,0,0.0026972171420067653
217,51.5084,0.0465,Royal Albert,3.0,1,0,0.003323839861676981
218,51.519,-0.188,Royal Oak,2.0,1,0,0.002825950799110849
219,51.5091,0.0181,Royal Victoria,3.0,1,0,0.0028788901187202886
220,51.5715,-0.4213,Ruislip,6.0,2,0,0.003401991323800406
222,51.5732,-0.4125,Ruislip Manor,6.0,2,0,0.0032751530568997647
223,51.523,-0.1244,Russell Square,1.0,1,0,0.0023904633408652833
224,51.5822,-0.0749,Seven Sisters,3.0,1,1,0.003070223312303522
225,51.5117,-0.055999999999999994,Shadwell,2.0,2,0,0.005845163930101995
226,51.5046,-0.2187,Shepherd's Bush (C),2.0,1,0,0.0029984398011232006
227,51.5058,-0.2265,Shepherd's Bush (H),2.0,1,0,0.0030020031308031605
228,51.5227,-0.0708,Shoreditch,2.0,1,0,0.0015219697161278228
229,51.4924,-0.1565,Sloane Square,1.0,2,0,0.0024782702441049644
230,51.5808,0.0216,Snaresbrook,4.0,1,0,0.0029755670123080193
231,51.4454,-0.2066,Southfields,3.0,1,0,0.0035718149975422966
234,51.5011,-0.3072,South Ealing,3.0,1,0,0.0028558085719385127
235,51.5646,-0.3521,South Harrow,5.0,1,0,0.0030888742126008394
236,51.4941,-0.1738,South Kensington,1.0,3,0,0.003634169838845052
237,51.5701,-0.3081,South Kenton,4.0,1,0,0.00360202874865547
238,51.5007,-0.0191,South Quay,2.0,1,0,0.003053781251882749
239,51.5569,-0.3988,South Ruislip,5.0,1,1,0.0035793281444231268
240,51.4154,-0.1919,South Wimbledon,3.5,1,0,0.003829334388350818
241,51.5917,0.0275,South Woodford,4.0,1,0,0.0030262376551477405
242,51.495,-0.2459,Stamford Brook,2.0,1,0,0.002669529148601037
243,51.6194,-0.3028,Stanmore,5.0,1,0,0.0020536085550415385
244,51.5221,-0.047,Stepney Green,2.0,2,0,0.0025342254734454584
245,51.4723,-0.12300000000000001,Stockwell,2.0,2,0,0.00549963377212852
246,51.5439,-0.2759,Stonebridge Park,3.0,1,0,0.003353905189581398
247,51.5416,-0.0042,Stratford,3.0,3,1,0.004902582111276766
248,51.4994,-0.1335,St. James's Park,1.0,2,0,0.0023108240157959474
249,51.5347,-0.174,St. John's Wood,2.0,1,0,0.002523979100125177
250,51.5146,-0.0973,St. Paul's,1.0,1,0,0.0024057758412567567
251,51.5569,-0.3366,Sudbury Hill,4.0,1,0,0.0031652764495232535
252,51.5507,-0.3156,Sudbury Town,4.0,1,0,0.003190155688108371
253,51.4933,-0.0478,Surrey Quays,2.0,1,0,0.004670734432432065
254,51.5432,-0.1738,Swiss Cottage,2.0,2,0,0.0025949671631370222
255,51.5111,-0.1141,Temple,1.0,2,0,0.002569850180762926
257,51.4361,-0.1598,Tooting Bec,3.0,1,0,0.0033712707899531793
258,51.4275,-0.168,Tooting Broadway,3.0,1,0,0.0034565919958256114
259,51.5165,-0.131,Tottenham Court Road,1.0,2,0,0.00406659975823078
260,51.5882,-0.0594,Tottenham Hale,3.0,1,1,0.003364258972475936
262,51.5106,-0.0743,Tower Gateway,1.0,1,0,0.0014903666098391945
263,51.5098,-0.0766,Tower Hill,1.0,2,0,0.003457383278696445
264,51.5567,-0.1374,Tufnell Park,2.0,1,0,0.003049986813192634
265,51.4951,-0.2547,Turnham Green,2.5,2,0,0.006108358037843945
266,51.5904,-0.1028,Turnpike Lane,3.0,1,0,0.0031442697845007026
267,51.559,0.251,Upminster,6.0,1,1,0.002126324978515396
268,51.5582,0.2343,Upminster Bridge,6.0,1,0,0.0038344382042200405
269,51.5385,0.1014,Upney,4.0,1,0,0.0032822187345338013
270,51.5352,0.0343,Upton Park,3.0,2,0,0.0030551543804642704
271,51.5463,-0.4786,Uxbridge,6.0,2,0,0.0021150067059640012
272,51.4861,-0.1253,Vauxhall,1.5,1,1,0.002783842750815579
273,51.4965,-0.1447,Victoria,1.0,3,1,0.004479529637852607
274,51.583,-0.0195,Walthamstow Central,3.0,1,1,0.0020594140647469386
275,51.5775,0.0288,Wanstead,4.0,1,0,0.0030295404143804066
276,51.5043,-0.0558,Wapping,2.0,1,0,0.0026366838951920684
277,51.5247,-0.1384,Warren Street,1.0,2,0,0.0032319941567784402
278,51.5235,-0.1835,Warwick Avenue,2.0,1,0,0.002844099652174489
279,51.5036,-0.1143,Waterloo,1.0,4,1,0.006082059994430767
281,51.5519,-0.2963,Wembley Central,4.0,1,1,0.003397476863770104
282,51.5635,-0.2795,Wembley Park,4.0,2,0,0.005260251724084229
283,51.521,-0.2011,Westbourne Park,2.0,1,0,0.003009511254560972
284,51.5097,-0.0265,Westferry,2.0,1,0,0.0036153028336884034
285,51.501000000000005,-0.1254,Westminster,1.0,3,0,0.004057577534260783
286,51.518,-0.2809,West Acton,3.0,1,0,0.0029716663098956343
287,51.4872,-0.1953,West Brompton,2.0,1,1,0.002786291805426462
288,51.6095,-0.1883,West Finchley,4.0,1,0,0.0034196693147317127
289,51.5287,0.0056,West Ham,3.0,3,1,0.004954216894771797
290,51.5469,-0.1906,West Hampstead,2.0,1,1,0.002787083772121127
291,51.5795,-0.3533,West Harrow,5.0,1,0,0.0029621104430473427
292,51.507,-0.0203,West India Quay,2.0,1,0,0.0035956062970372775
293,51.4907,-0.2065,West Kensington,2.0,1,0,0.0025156914658035334
294,51.5696,-0.4376,West Ruislip,6.0,1,1,0.002120231081080358
295,51.5194,-0.0612,Whitechapel,2.0,3,0,0.004824851644263378
296,51.512,-0.2239,White City,2.0,1,0,0.003061539458076823
297,51.5492,-0.2215,Willesden Green,2.5,1,0,0.003046632553445747
298,51.5326,-0.2478,Willesden Junction,3.0,1,1,0.0033018515745734138
299,51.4214,-0.2064,Wimbledon,3.0,1,1,0.0021181065219330235
300,51.4343,-0.1992,Wimbledon Park,3.0,1,0,0.003815100659320394
301,51.607,0.0341,Woodford,4.0,1,0,0.004464469175982276
302,51.6179,-0.1856,Woodside Park,4.0,1,0,0.0035713283737783693
303,51.5975,-0.1097,Wood Green,3.0,1,0,0.0032528745461832464
35,51.4627,-0.1145,Brixton,2.0,1,1,0.0016653609182991636
6,51.6736,-0.607,Amersham,10.0,1,1,0.002027863533911113
23,51.4979,-0.0637,Bermondsey,2.0,1,0,0.0025228420926180165
50,51.7052,-0.611,Chesham,10.0,1,0,0.002027863533911113
46,51.6679,-0.561,Chalfont & Latimer,9.0,1,1,0.005404146325373861
53,51.6543,-0.5183,Chorleywood,8.0,1,0,0.003435504884713213
214,51.6404,-0.4733,Rickmansworth,7.0,1,0,0.003312097296004934
62,51.647,-0.4412,Croxley,7.0,1,0,0.0035603806660906355
280,51.6573,-0.4177,Watford,8.0,1,0,0.0020098505248103745
221,51.5606,-0.4103,Ruislip Gardens,5.0,1,0,0.0038200996220199936
121,51.6503,-0.1943,High Barnet,5.0,1,0,0.0021179689150173948
261,51.6302,-0.1791,Totteridge & Whetstone,4.0,1,0,0.003814776878342449
57,51.6517,-0.1496,Cockfosters,5.0,1,0,0.002121262411932192
187,51.6476,-0.1318,Oakwood,5.0,1,0,0.0038225262828478564
232,51.6322,-0.128,Southgate,4.0,1,0,0.0035829752729026765
88,51.6937,0.1139,Epping,6.0,1,0,0.00210651349350516
256,51.6717,0.1033,Theydon Bois,6.0,1,0,0.0037878229453724827
68,51.6455,0.0838,Debden,6.0,1,0,0.003530818198049993
158,51.6412,0.0558,Loughton,6.0,1,0,0.0033513051871643116
37,51.6266,0.0471,Buckhurst Hill,5.0,1,0,0.0031859263794616656
204,51.5343,-0.0139,Pudding Mill Lane,2.5,1,0,0.002776706520949958
233,51.501000000000005,-0.1052,Southwark,1.0,1,0,0.0023045295136674307
41,51.4982,-0.0502,Canada Water,2.0,2,0,0.0050820599756625
43,51.5147,0.0082,Canning Town,3.0,2,0,0.005030824208537105
183,51.5005,0.0039,North Greenwich,2.5,1,0,0.002609210189405346
64,51.4827,-0.0096,Cutty Sark,2.5,1,0,0.0033760313284955175
106,51.4781,-0.0149,Greenwich,2.5,1,1,0.003459296268963942
69,51.474,-0.0216,Deptford Bridge,2.5,1,0,0.0035948099120741
86,51.4693,-0.0174,Elverson Road,2.5,1,0,0.0038304006024531133
152,51.4657,-0.0142,Lewisham,2.5,1,1,0.0021246089977644254
174,51.4767,-0.0327,New Cross,2.0,1,1,0.001820063497577606
175,51.4757,-0.0402,New Cross Gate,2.0,1,1,0.001820063497577606
